Protein_ID,Fishers_oculina
evm.model.Ap11.724,0
evm.model.Ap11.727,0
evm.model.Ap11.726,0
evm.model.Ap11.721,0
evm.model.Ap11.720,0
evm.model.Ap11.723,0
evm.model.Ap11.722,0
evm.model.Ap11.1414_evm.model.Ap11.1407,0
evm.model.Ap11.682,0
evm.model.Ap11.683,0
evm.model.Ap11.680,0
evm.model.Ap11.681,0
evm.model.Ap11.686,0
evm.model.Ap11.687,0
evm.model.Ap11.684,0
evm.model.Ap11.685,0
evm.model.Ap11.688,0
evm.model.Ap11.689,0
evm.model.Ap11.1222,0
evm.model.Ap11.1223,0
evm.model.Ap11.1220,0
